id,nft_rank,rarity score new,img_url,is_one_of_one,background,mushroom,skin,clothes,mouth,eyes,item,head,accessory,trait_count
1466,3586,158.36,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_1466/image.svg,No,Orange,Orange,OG Green,Hoodie - White,Smile,Wide Up,Lightsaber - Blue,Beanie - Yellow,None,5
5447,3587,158.34,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_5447/image.svg,No,Grey,Yellow,OG Green,T-shirt - Fly - Blue,O,Contentful,Ice Sword,Back Cap - Blue,None,5
3320,3588,158.32,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_3320/image.svg,No,Sky Blue,Orange,OG Green,T-shirt - Rainbow,Smile Big,Eye Roll,Lightsaber - Blue,Straw Hat,None,5
3578,3589,158.27,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_3578/image.svg,No,Mint,Brown,Orange,Turtleneck - Grey,Tongue,Stoned,None,Mohawk - Purple,None,4
4456,3590,158.26,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_4456/image.svg,No,Purple,Green,Brown,Hawaiian Shirt,Gasp,Eye Roll,None,Sailor Hat,None,4
1924,3591,158.22,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_1924/image.svg,No,Sky Blue,Common,Blue,T-shirt - Rocket - Grey,O,Tired,Lightsaber - Green,Bandana - Purple,None,5
1576,3592,158.21,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_1576/image.svg,No,Mint,Yellow,Dark Green,T-shirt - Camo,Smile,Right Up,Wand Right,Beanie - Grey,None,5
8121,3593,158.20,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_8121/image.svg,No,Brown,Brown,OG Green,Overalls - Green,Tongue,Bored,None,Beanie - Grey,None,4
5090,3594,158.16,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_5090/image.svg,No,Grey,Orange,OG Green,Hoodie - Camo,Small Gasp,Lasers,Ice Sword,Back Cap - White,None,5
6950,3595,158.14,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_6950/image.svg,No,Brown,Green,Grey,Hoodie - Grey,Smile,Right Up,Lightsaber - Blue,Brain,None,5
8885,3596,158.14,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_8885/image.svg,No,Mint,Orange,Dark Green,T-shirt - Heart - Pink,Rainbow Vom,Right Down,Ice Sword,Brain,None,5
2025,3597,158.13,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_2025/image.svg,No,Red,Brown,OG Green,Pirate,Small Gasp,Suspicious,None,Straw Hat,None,4
5690,3598,158.12,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_5690/image.svg,No,Green,Brown,Dark Green,T-shirt - Rainbow,Fire,Contentful,None,Beanie - Grey,None,4
4723,3599,158.10,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_4723/image.svg,No,Mint,Brown,Blue,Hoodie - Dark Blue,Smile,Right Down,Lightsaber - Green,Bandana - Red,None,5
7209,3600,158.10,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_7209/image.svg,No,Brown,Common,Orange,T-shirt - Heart - Pink,Tongue,Glasses - 3D,None,Mohawk - Pink,None,4
3114,3601,158.10,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_3114/image.svg,No,Grey,Green,Brown,T-shirt - Fly - Blue,Blunt,Hearts,None,Back Cap - Blue,None,4
5745,3602,158.09,https://images-z0f854-arb.s3.us-west-2.amazonaws.com/0x09cae384c6626102abe47ff50588a1dbe8432174_5745/image.svg,No,Mint,Common,OG Green,Hawaiian Shirt,Rainbow Vom,Right Down,None,Halo,None,4
